Model:,Luke_electric_field_simulation_V2.mph,,,
Version:,COMSOL,5.6.0.401,,
Date:,Mar,11,"2024,",22:13
Dimension:,3,,,
Nodes:,46324,,,
Expressions:,1,,,
Description:,Multislice,,,
x,y,z,Color,
-38.9995996,-7.10E-15,1.000544209,0.001450192,
-38.99999629,-7.11E-15,1,0.002132121,
-38.99871976,-7.10E-15,1,-1.20E-04,
-38.78926712,-7.12E-15,1.540689835,0.01769597,
-38.71052048,-7.11E-15,1.465562801,0.015382111,
-38.72328681,-7.11E-15,1.554581442,0.017888557,
-38.57880369,-7.11E-15,2.08104186,0.034478806,
-38.42071551,-7.08E-15,1.929965938,0.030049562,
-38.44624666,-7.09E-15,2.108977894,0.035392587,
-38.7395592,-7.11E-15,1.668047568,0.021639354,
-38.47878665,-7.10E-15,2.337132385,0.042436323,
-38.64461036,-7.11E-15,1.571181651,0.018716596,
-38.2881716,-7.11E-15,2.142363301,0.036762846,
-38.99717804,-7.11E-15,1.006203301,0.001249107,
-38.13091054,-7.11E-15,2.394369075,0.042515593,
-38.36806915,-7.11E-15,2.621390849,0.050420964,
-38.99718307,-7.10E-15,1.001741233,8.13E-04,
-38.99999489,-7.11E-15,1.001061109,0.002267363,
-38.78665458,-7.11E-15,2.362720485,0.044807252,
-38.76407227,-7.11E-15,2.332621229,0.043183349,
-38.73615576,-7.11E-15,2.393576341,0.045810191,
-38.65539082,-7.11E-15,2.443563014,0.04744647,
-38.73675745,-7.11E-15,2.295529966,0.041928217,
-38.64874834,-7.12E-15,2.177018582,0.037981228,
-38.47706963,-7.12E-15,2.553387201,0.051052281,
-38.99713918,-7.11E-15,1.823017653,0.027657181,
-38.99766938,-7.11E-15,1.822053616,0.027628099,
-38.88158481,-7.11E-15,1.666628481,0.022398348,
-38.73757608,-7.12E-15,1.982328731,0.032001287,
-38.9976665,-7.11E-15,1.822692405,0.02764834,
-38.99766598,-7.11E-15,1.823333917,0.027668535,
-38.99807444,-7.11E-15,1.411316575,0.014604892,
-38.99592453,-7.09E-15,2.233835622,0.040614249,
-38.42852549,-7.11E-15,3.045238477,0.058782996,
-38.57705881,-7.11E-15,2.903277487,0.057636272,
-38.28858597,-7.11E-15,2.940867562,0.057140989,
-38.71131905,-7.11E-15,3.256154041,0.062098555,
-38.78576538,-7.11E-15,3.185146264,0.062248643,
-38.64131358,-7.11E-15,3.203941951,0.061277978,
-38.47775809,-7.10E-15,2.769531448,0.055446153,
-38.7361118,-7.10E-15,3.118225783,0.061154681,
-38.14573193,-7.12E-15,2.834322912,0.052369073,
-38.99413807,-7.11E-15,3.466928887,0.066287015,
-38.99404119,-7.11E-15,3.467016339,0.065044423,
-38.73629239,-7.11E-15,2.491724154,0.048729272,
-38.99572855,-7.11E-15,2.643990694,0.049528835,
-38.99490907,-7.11E-15,2.645483959,0.049569278,
-38.73562827,-7.11E-15,2.804664257,0.055577833,
-38.99572443,-7.11E-15,2.6459692,0.049571909,
-38.99417991,-7.08E-15,3.055947517,0.058541307,
-38.99572468,-7.11E-15,2.644980769,0.049550337,
-38.99413771,-7.11E-15,3.467028537,0.065156443,
-38.99413773,-7.11E-15,3.467137087,0.064008427,
-38.36116952,-7.12E-15,3.643634014,0.069738995,
-38.64321,-7.10E-15,3.996988152,0.073778513,
-38.63011414,-7.11E-15,3.568578713,0.067465038,
-38.26609516,-7.10E-15,3.670166743,0.070542953,
-38.13736715,-7.11E-15,3.706091312,0.07163184,
-38.27100403,-7.10E-15,3.83594617,0.07331917,
-38.80082292,-7.12E-15,3.759290671,0.069142149,
-38.56243895,-7.11E-15,4.118799721,0.076156255,
-38.60703705,-7.11E-15,4.051604198,0.074845617,
-38.28169733,-7.12E-15,4.197074028,0.078313804,
-38.01210979,-7.09E-15,3.89503402,0.075217717,
-37.90207619,-7.11E-15,3.771754772,0.074708373,
-38.4128338,-7.09E-15,4.343996468,0.079977446,
-38.99283025,-7.09E-15,3.859433489,0.069060605,
-38.99296777,-7.11E-15,4.158046917,0.073825333,
-38.99267283,-7.10E-15,4.251969352,0.075320137,
-38.77337541,-7.10E-15,4.138028781,0.074649304,
-38.99275326,-7.10E-15,4.37552115,0.077278993,
-38.64284263,-7.11E-15,4.070313205,0.07425041,
-38.64277476,-7.12E-15,4.126130371,0.075140743,
-38.85989194,-7.09E-15,4.575885825,0.081232992,
-38.6411529,-7.11E-15,4.462841437,0.080689315,
-38.99197513,-7.12E-15,4.644530807,0.081574053,
-39.24106943,-7.08E-15,-0.391903034,-989.3899203,
-39.30593445,-7.11E-15,-0.306123006,-732.9512331,
-39.34410596,-7.11E-15,-0.358591257,-858.5796983,
-38.93589487,-7.13E-15,-0.194835029,-489.3502854,
-39.08322495,-7.11E-15,-2.55E-17,-1.73E-11,
-39.16992517,-7.11E-15,-0.119172883,-285.3486146,
-39.540778,-7.11E-15,-0.000479559,-1.148259741,
