% Model:              Luke_electric_field_simulation_V2.mph
% Version:            COMSOL 5.6.0.401
% Date:               Mar 11 2024, 22:31
% Dimension:          3
% Nodes:              5305
% Expressions:        1
% Description:        Multislice
% x                       y                        z                        Color
-30.93346630924262        -25.359236309169646      0                        -3758.6844148986156
-31.99334850103751        -24.00880776727139       0                        -4289.3813131462275
-30.346312421352653       -23.77977512433597       0                        2.7284841053187847E-12
-24.484394834745025       -29.81879280487247       0                        -5.4569682106375694E-12
-24.707064474382953       -31.45705995480944       0                        -3997.5458046385475
-26.07208295339521        -30.334770315782116      0                        -3431.9631509685846
-28.62493992071895        -27.938007785640735      0                        -3443.48551261356
-26.980868585906894       -27.54790109556709       0                        4.092726157978177E-12
-27.378446257062063       -29.16068612473802       0                        -3432.2564212182906
-25.77284438159127        -28.708106056607676      0                        -5.153803310046594E-12
-29.810256111195265       -26.669950666761622      0                        -3815.289120727619
-28.16424865089273        -26.30103473939629       0                        -6.063298011819521E-13
-29.309132486074216       -25.00716514780424       0                        7.275957614183426E-12
-23.28352545861062        -32.525020679129554      0                        -2495.263789314573
-23.147551167782076       -30.871732479918737      0                        -3.031649005909761E-12
-21.768740257016997       -31.835234480982397      0                        -1.2126596023639042E-12
-21.802890575642977       -33.53520126370913       0                        -3078.01411560554
-32.988706595346315       -22.621613175325745      0                        -5058.964056358009
-31.356008623917415       -22.48519164785493       0                        2.9558577807620168E-12
-32.2800394416344         -21.135936177279977      0                        4.547473508864641E-13
-33.91939236503288        -21.199919042780934      0                        -5022.084837162517
-33.14850743604835        -19.75197538967592       0                        7.389644451905042E-13
-34.785133110741185       -19.746559576033434      0                        -4603.310390305173
-34.49505686666204        -22.657605096682598      1.1102230246251565E-16   -3617.3795631812095
-32.515567287472585       -25.48420023939679       5.551115123125783E-17    -3131.494723705128
-32.93138906278236        -24.418504435440795      -5.551115123125783E-17   -3338.2336962038703
-25.989774329701596       -31.59160028087777       0                        -2664.40484248338
-31.301686141409643       -26.70052144032726       5.551115123125783E-17    -3458.598935170182
-23.529474881825045       -33.65527573008264       5.551115123125783E-17    -2644.6815049729726
-24.731698403142712       -33.01234935986305       5.551115123125783E-17    -2572.9968970383584
-20.26760280133245        -34.48428074794618       0                        -2590.8728537583506
-21.910332378127244       -35.191304566856466      5.551115123125783E-17    -2284.8700004518437
-27.379781112754433       -30.518607067045515      0                        -2928.5237554121395
-29.104245429166305       -29.62659099117056       0                        -2641.739669842256
-30.838659546421876       -28.581844380478174      -5.551115123125783E-17   -2601.414388532946
-18.681811220104294       -35.368214386591674      0                        -2386.0254610499237
-19.944664617037855       -36.10925809216338       -5.551115123125783E-17   -1959.9808097482849
-20.265138417989824       -32.748844405601844      0                        -4.244308608273665E-12
-17.04838756522753        -36.18394443586823       0                        -2721.5043697163283
-15.371531364354382       -36.92789327680431       0                        -2514.10897820809
-16.394116361712367       -37.58878232125849       0                        -1611.085168838128
-15.144449681897385       -38.279097798361434      1.734723475976807E-18    -2295.529313571587
-15.161682419601846       -38.280309345184         0                        -2168.9639966985746
-18.22549226762962        -36.624878168884116      7.979727989493313E-17    -2634.641625732498
-17.19974809411297        -34.47113989973546       0                        3.0316490059097606E-13
-18.75001441244057        -33.64674054851375       0                        -1.8189894035458565E-12
-15.60633463906381        -35.22419433296366       0                        -4.244308608273665E-12
-13.662792866778702       -37.59409254922828       0                        -2033.554476423659
-15.135314267584121       -38.29115684418505       -1.734723475976807E-18   -2068.4590855295005
-13.968111306638884       -35.91321966246646       0                        -3.941143707682689E-12
-33.97282504253889        -18.322443750616465      0                        1.2126596023639042E-12
-35.585397204386915       -18.26468660950518       0                        -4831.809785847415
-36.31985253139655        -16.757003325643648      0                        -5185.962643156994
-36.98809187300678        -15.22620672222359       0                        -6168.366392669908
-35.38566289833092        -15.43546654175437       0                        4.850638409455617E-12
-34.7165151586522         -16.895747813240604      0                        1.1368683772161603E-12
-37.589578617413366       -13.675199328917476      0                        -6376.027602031857
-35.9902015598724         -13.949681403391265      0                        4.547473508864641E-13
-38.123917342995966       -12.106452657225434      0                        -5842.556244699187
-36.549103541807206       -12.43568284962403       0                        -2.576901655023297E-12
-38.59097907335933        -10.522090292015337      0                        -6085.836547042886
-37.04947410076605        -10.912376694674688      0                        9.094947017729282E-13
-37.60657838577566        -16.343557840341454      0                        -5994.255985509222
-37.61000029986943        -16.357376202534443      0                        -5641.497368150047
-38.26818159099954        -15.163667680127384      8.326672684688674E-17    -4853.486713898581
-38.66159873578874        -13.26947849925957       -1.4432899320127033E-15  -6290.1908273154895
